实体类型,ID,名称,难度,内容,存储开销,核心特性,时间复杂度,空间复杂度,设计思想,适用场景
概念,01CON001,数据,入门,对现实世界事物及其活动的符号记录，需要编码为二进制形式以便计算机处理。,,,,,,
概念,01CON002,数据元素,入门,数据的基本单位，一个数据整体中相对独立的单位。,,,,,,
概念,01CON007,数据处理,入门,利用计算机对数据进行存储、检索、插入、删除、合并、拆分、排序、统计、计算、转换、输入、输出等的过程。,,,,,,
概念,01CON008,数据结构,入门,指数据以及数据元素之间的相互联系（关系），通常指逻辑结构。由数据元素的集合K和K上关系的集合R组成。,,,,,,
概念,01CON009,逻辑结构,入门,数据元素之间的内在联系，与计算机存储和处理无关。基本结构包括集合、线、树、图等。,,,,,,
概念,01CON010,存储结构,入门,数据的逻辑结构在计算机存储器中的表现形式，也称物理结构。基本方法有顺序、链接、索引、散列等。,,,,,,
概念,01CON011,关系,入门,数据元素之间的二元联系，通常表示为序偶的集合。,,,,,,
概念,01CON012,直接前驱,入门,"在关系序偶<x,y>中，x是y的直接前驱。",,,,,,
概念,01CON013,直接后继,入门,"在关系序偶<x,y>中，y是x的直接后继。",,,,,,
概念,01CON014,结点,入门,数据结构图形表示中对应数据元素的单元，也叫顶点。,,,,,,
概念,01CON015,有向边,入门,数据结构图形表示中带箭头的连线，对应关系中的序偶，也称弧。,,,,,,
数据结构,01DS001,集合结构,入门,数据元素之间除了“同属一个集合”外，没有其他关系的数据结构。,取决于存储方式,无序性（逻辑上）,,,,
数据结构,01DS002,线性结构,入门,数据元素之间存在一对一的线性关系的数据结构。除首尾元素外，每个元素有且仅有一个直接前驱和一个直接后继。,取决于存储方式（顺序或链式）,有序性（逻辑上），1:1关系,,,,
数据结构,01DS003,树形结构,入门,数据元素之间存在一对多的层次关系的数据结构。除根结点外，每个结点有且仅有一个直接前驱，可以有任意多个直接后继。,取决于存储方式,层次性，1:N关系,,,,
概念,01CON016,树根结点,入门,树形结构中没有前驱只有后继的结点。,,,,,,
概念,01CON017,树叶结点,入门,树形结构中只有前驱没有后继的结点。,,,,,,
概念,01CON018,树枝结点,入门,树形结构中除树根和树叶之外的结点。,,,,,,
数据结构,01DS004,图形结构,入门,数据元素之间存在多对多的关系的数据结构。每个结点可以有任意多个前驱和后继。,取决于存储方式（邻接矩阵或邻接表）,网状性，M:N关系,,,,
概念,01CON019,非线性结构,入门,数据元素之间存在非一对一关系的结构统称，主要包括树形结构和图形结构。,,,,,,
概念,01CON020,数据类型,入门,对数据的取值范围、数据元素之间的结构以及允许施加操作的一种总体描述。,,,,,,
概念,01CON021,简单类型,入门,数据无法再分割的整体的数据类型，如整数、字符等。,,,,,,
