关系类型,源实体,目标实体
理论依赖,数据结构,数据
理论依赖,数据结构,数据元素
理论依赖,数据结构,关系
理论依赖,数据结构,逻辑结构
理论依赖,数据结构,存储结构
理论依赖,数据元素,数据
理论依赖,逻辑结构,集合结构
理论依赖,逻辑结构,线性结构
理论依赖,逻辑结构,树形结构
理论依赖,逻辑结构,图形结构
理论依赖,存储结构,顺序存储
理论依赖,存储结构,链式存储
理论依赖,存储结构,索引存储
理论依赖,存储结构,散列存储
理论依赖,关系,直接前驱
理论依赖,关系,直接后继
理论依赖,集合结构,逻辑结构
理论依赖,线性结构,逻辑结构
理论依赖,线性结构,直接前驱
理论依赖,线性结构,直接后继
理论依赖,树形结构,逻辑结构
理论依赖,树形结构,非线性结构
理论依赖,树形结构,直接前驱
理论依赖,树形结构,直接后继
理论依赖,树形结构,结点
理论依赖,树形结构,树根结点
理论依赖,树形结构,树叶结点
理论依赖,树形结构,树枝结点
理论依赖,图形结构,逻辑结构
理论依赖,图形结构,非线性结构
理论依赖,图形结构,直接前驱
理论依赖,图形结构,直接后继
理论依赖,图形结构,结点
理论依赖,图形结构,有向边
继承,树形结构,图形结构
继承,线性结构,树形结构
理论依赖,数据类型,简单类型
理论依赖,数据类型,结构类型
理论依赖,结构类型,数组
理论依赖,结构类型,记录
理论依赖,抽象数据类型,数据结构
理论依赖,抽象数据类型,数据类型
理论依赖,数据对象,数据类型
理论依赖,算法,数据处理
理论依赖,算法,有穷性
理论依赖,算法,确定性
理论依赖,算法,可行性
理论依赖,算法,输入
理论依赖,算法,输出
理论依赖,算法,时间复杂度
理论依赖,算法,空间复杂度
理论依赖,算法,正确性
理论依赖,算法,稳健性
理论依赖,算法,可读性
理论依赖,累加求和,算法
使用,累加求和,数组
理论依赖,矩阵相加,算法
使用,矩阵相加,数组
理论依赖,简单选择排序,算法
使用,简单选择排序,数组
理论依赖,顺序查找,算法
使用,顺序查找,数组
理论依赖,时间复杂度,数量级
理论依赖,空间复杂度,数量级
理论依赖,算法,递归
理论依赖,算法,非递归
理论依赖,线性表,抽象数据类型
理论依赖,线性表,数据结构
继承,顺序表,线性表
使用,顺序表,数组
继承,链表,线性表
使用,链表,结点
使用,链表,指针
继承,单链表,链表
继承,双向链表,链表
继承,循环链表,单链表
继承,循环链表,链表
操作绑定,初始化列表,线性表
操作绑定,清除列表,线性表
操作绑定,获取列表长度,线性表
操作绑定,判空列表,线性表
操作绑定,获取元素,线性表
操作绑定,遍历列表,线性表
操作绑定,查找元素,线性表
操作绑定,更新元素,线性表
操作绑定,插入元素,线性表
操作绑定,删除元素,线性表
操作绑定,排序列表,线性表
使用,查找元素,顺序查找
使用,更新元素,顺序查找
使用,排序列表,插入排序
理论依赖,插入排序,时间复杂度
理论依赖,插入排序,空间复杂度
理论依赖,插入排序,算法
使用,多项式求值,线性表
使用,多项式加法,线性表
使用,多项式加法,单链表
理论依赖,顺序查找,时间复杂度
操作绑定,初始化集合,集合结构
操作绑定,清除集合,集合结构
操作绑定,求集合长度,集合结构
操作绑定,判断集合是否为空,集合结构
操作绑定,判断元素是否属于集合,集合结构
操作绑定,输出集合元素,集合结构
操作绑定,查找集合元素,集合结构
操作绑定,修改集合元素,集合结构
操作绑定,向集合插入元素,集合结构
操作绑定,从集合删除元素,集合结构
操作绑定,求集合并集,集合结构
操作绑定,求集合交集,集合结构
操作绑定,求集合差集,集合结构
理论依赖,集合结构,空集
理论依赖,集合结构,集合的抽象数据类型
使用,集合结构,顺序存储
使用,集合结构,链式存储
使用,集合结构,单链表
使用,稀疏矩阵,三元组线性表
理论依赖,三元组线性表,三元组
使用,三元组线性表,顺序存储
使用,三元组线性表,链式存储
操作绑定,稀疏矩阵转置,稀疏矩阵
变体,普通转置,稀疏矩阵转置
变体,快速转置,稀疏矩阵转置
优化,快速转置,普通转置
操作绑定,稀疏矩阵加法,稀疏矩阵
使用,稀疏矩阵,行指针向量
使用,稀疏矩阵,十字链接存储
使用,稀疏矩阵,单链表
理论依赖,广义表,单元素
理论依赖,广义表,子表
理论依赖,广义表,深度
操作绑定,求广义表长度,广义表
操作绑定,求广义表深度,广义表
操作绑定,建立广义表,广义表
操作绑定,打印广义表,广义表
使用,广义表,链式存储
使用,广义表,单链表
继承,栈,线性表
继承,队列,线性表
变体,循环队列,队列
变体,优先级队列,队列
操作绑定,入栈,栈
操作绑定,出栈,栈
操作绑定,读取栈顶元素,栈
操作绑定,判断栈空,栈
操作绑定,初始化栈,栈
操作绑定,清空栈,栈
操作绑定,入队,队列
操作绑定,出队,队列
操作绑定,读取队首元素,队列
操作绑定,判断队列空,队列
操作绑定,初始化队列,队列
操作绑定,清空队列,队列
理论依赖,栈,栈顶
理论依赖,栈,栈底
理论依赖,栈,后进先出
理论依赖,队列,队首
理论依赖,队列,队尾
理论依赖,队列,先进先出
使用,后缀表达式求值,栈
使用,中缀转后缀,栈
使用,括号配对检查,栈
使用,进制转换,栈
使用,迷宫求解,栈
使用,渡口管理模拟,队列
理论依赖,递归阶乘,递归
理论依赖,布尔量组合输出,递归
理论依赖,全排列,递归
理论依赖,迷宫求解,递归
理论依赖,汉诺塔,递归
理论依赖,后缀表达式求值,后缀表示
理论依赖,中缀转后缀,中缀表示
理论依赖,中缀转后缀,后缀表示
使用,栈,顺序存储
使用,栈,链式存储
使用,队列,顺序存储
使用,队列,链式存储
使用,循环队列,顺序存储
理论依赖,树,树根结点
理论依赖,树,子树
理论依赖,树,结点
理论依赖,结点,度
理论依赖,树,度
理论依赖,树叶结点,结点
理论依赖,树叶结点,度
理论依赖,树枝结点,结点
理论依赖,树枝结点,度
理论依赖,孩子结点,结点
理论依赖,双亲结点,结点
理论依赖,孩子结点,双亲结点
理论依赖,兄弟结点,孩子结点
理论依赖,兄弟结点,双亲结点
理论依赖,结点,深度
理论依赖,树,深度
理论依赖,深度,深度
理论依赖,有序树,树
理论依赖,无序树,树
理论依赖,森林,树
继承,二叉树,树
理论依赖,二叉树,有序树
理论依赖,k叉树,树
理论依赖,k叉树,度
继承,满二叉树,二叉树
继承,完全二叉树,二叉树
继承,满二叉树,完全二叉树
继承,理想平衡二叉树,二叉树
继承,完全二叉树,理想平衡二叉树
使用,二叉树顺序存储,二叉树
使用,二叉树顺序存储,完全二叉树
使用,二叉链表,二叉树
理论依赖,二叉链表,树根指针
操作绑定,二叉树遍历,二叉树
继承,前序遍历,二叉树遍历
使用,前序遍历,栈
继承,中序遍历,二叉树遍历
使用,中序遍历,栈
继承,后序遍历,二叉树遍历
使用,后序遍历,栈
继承,层序遍历,二叉树遍历
