记录类型,实体类型,ID,名称,难度,内容,存储开销,核心特性,时间复杂度,空间复杂度,设计思想,适用场景,关系类型,源实体,目标实体
实体,数据结构,01DS001,数据结构,入门,"指数据以及相互之间的联系。它是根据人们解决实际问题的需要从问题本身所含数据之间的内在联系而抽象出来的。包括数据的逻辑结构和存储结构（物理结构）。通常采用二元组 B=(K,R) 表示，其中K是数据元素的集合，R是K上关系的集合。",依赖于所选用的具体存储结构（顺序、链接、索引、散列等）,数据元素及其关系（逻辑结构），数据在计算机中的存储方式（存储结构）,,,,,,,
实体,算法,01ALG001,算法,入门,解决特定问题的方法或步骤。应具备有穷性、确定性、可行性、输入（0或多个）、输出（1或多个）五个特性。分为数值算法和非数值算法。在计算机领域，是针对问题需求在数据的逻辑结构和存储结构基础上施加的一种运算。,,,评价算法效率的度量，衡量算法运行时间随问题规模增长的趋势。,评价算法效率的度量，衡量算法运行过程中临时占用存储空间的大小。,多种多样，如结构化、模块化、面向对象、分治、贪心等（绪论中提到结构化、模块化、面向对象）,解决各类数值计算和非数值处理问题。,,,
实体,概念,01CON001,逻辑结构,入门,指数据元素之间的逻辑关系，是数据结构在抽象层面的描述，与数据的存储方式无关。基本类型包括集合、线性结构、树形结构、图形结构。,,,,,,,,,
实体,概念,01CON002,存储结构,入门,指数据结构在计算机内存中的表示方式，也称为物理结构。主要有顺序存储、链接存储、索引存储、散列存储四种基本方法。,,,,,,,,,
实体,数据结构,01DS002,集合,入门,一种基本的逻辑结构，其中的数据元素除了同属于一个集合外，相互之间没有其他特定的关系。,依赖具体实现方式,元素间无特定关系,,,,,,,
实体,数据结构,01DS003,线性结构,入门,一种基本的逻辑结构，其中的数据元素之间存在一对一的线性关系。除第一个元素外，每个元素有且仅有一个直接前驱；除最后一个元素外，每个元素有且仅有一个直接后继。,依赖具体实现（如顺序表、链表）,一对一关系，有序性,,,,,,,
实体,数据结构,01DS004,树形结构,入门,一种基本的逻辑结构，其中的数据元素之间存在一对多的层次关系。除根结点外，每个结点有且仅有一个直接前驱；每个结点可以有零个或多个直接后继。,依赖具体实现,一对多关系，层次性,,,,,,,
实体,数据结构,01DS005,图形结构,入门,一种基本的逻辑结构，其中的数据元素（顶点）之间存在多对多的关系。每个结点可以有任意多个直接前驱和直接后继。,依赖具体实现,多对多关系，网状性,,,,,,,
实体,数据结构,01DS006,非线性结构,入门,相对于线性结构而言的逻辑结构，数据元素之间存在非一对一的关系。主要包括树形结构和图形结构。,依赖具体实现,元素间关系非一对一（一对多或多对多）,,,,,,,
实体,概念,01CON003,时间复杂度,中等,算法效率的度量指标，用于评估算法执行时间随输入数据规模增长的趋势。通常使用大O表示法（O(g(n))）来表示其数量级。,,,,,,,,,
实体,概念,01CON004,空间复杂度,中等,算法效率的度量指标，用于评估算法在运行过程中临时占用的存储空间大小。包括算法本身、输入输出数据以及临时变量和工作栈等占用的空间。,,,,,,,,,
实体,概念,01CON005,抽象数据类型,中等,"（Abstract Data Type, ADT）由一个数据结构以及定义在该结构上的一组操作组成。它强调数据的逻辑结构和操作，隐藏其内部存储表示和实现细节，体现了信息隐藏和封装的思想。在C++等面向对象语言中常通过类来实现。",,,,,,,,,
实体,概念,01CON006,数据,入门,对现实世界事物及其活动的符号记录，是信息的载体。可以是数值、字符、文本、图像等多种形式。在计算机中通常以二进制形式存储和处理。,,,,,,,,,
实体,概念,01CON007,数据元素,入门,数据的基本单位，是数据整体中相对独立的个体。通常作为一个整体进行考虑和处理。在某些情况下等同于数据或记录。,,,,,,,,,
实体,概念,01CON008,数据项,入门,构成数据元素或数据记录的不可分割的最小单位。一个数据元素（或记录）可以由若干个数据项组成。可以是简单数据项或组合数据项。,,,,,,,,,
实体,概念,01CON009,关键字,入门,（Keyword或Key）能唯一标识一个数据记录（或数据元素）的数据项的值。对应的那个能唯一标识记录的数据项称为关键项（Key Item）。,,,,,,,,,
实体,概念,01CON013,顺序存储,入门,一种基本的存储结构（物理结构）实现方法，将逻辑上相邻的数据元素存储在物理位置也相邻的存储单元中。,,,,,,,,,
实体,概念,01CON014,链接存储,入门,一种基本的存储结构（物理结构）实现方法，数据元素的存储单元不一定连续，元素间的逻辑关系通过存储指针（地址）来表示。,,,,,,,,,
实体,概念,01CON015,索引存储,入门,一种基本的存储结构（物理结构）实现方法，在存储数据元素信息的同时，还建立附加的索引表来标识元素的地址。,,,,,,,,,
